YYYY,m,d,h,h'Es
2002,4,6,7,125
2002,4,6,8,120
2002,4,6,9,115
2002,4,6,10,NaN
2002,4,6,11,120
2002,4,6,12,130
2002,4,6,13,110
2002,4,6,14,NaN
2002,4,6,15,NaN
2002,4,6,16,NaN
2002,4,6,17,NaN
2002,4,6,18,NaN
2002,4,6,19,NaN
2002,4,6,20,NaN
2002,4,6,21,NaN
2002,4,6,22,NaN
2002,4,6,23,NaN
2002,4,7,0,NaN
2002,4,7,1,NaN
2002,4,7,2,NaN
2002,4,7,3,110
2002,4,7,4,110
2002,4,7,5,110
2002,4,7,6,110
2002,4,7,7,100
2002,4,7,8,110
2002,4,7,9,140
2002,4,7,10,110
2002,4,7,11,105
2002,4,7,12,NaN
2002,4,7,13,NaN
2002,4,7,14,NaN
2002,4,7,15,NaN
2002,4,7,16,NaN
2002,4,7,17,NaN
2002,4,7,18,NaN
2002,4,7,19,NaN
2002,4,7,20,NaN
2002,4,7,21,NaN
2002,4,7,22,NaN
2002,4,7,23,NaN
2002,4,8,0,NaN
2002,4,8,1,NaN
2002,4,8,2,NaN
2002,4,8,3,110
2002,4,8,4,115
2002,4,8,5,NaN
2002,4,8,6,110
2002,4,8,7,100
2002,4,8,8,110
2002,4,8,9,115
2002,4,8,10,110
2002,4,8,11,NaN
2002,4,8,12,130
2002,4,8,13,120
2002,4,8,14,NaN
2002,4,8,15,NaN
2002,4,8,16,NaN
2002,4,8,17,NaN
2002,4,8,18,NaN
2002,4,8,19,NaN
2002,4,8,20,NaN
2002,4,8,21,NaN
2002,4,8,22,NaN
2002,4,8,23,NaN
2002,4,9,0,NaN
2002,4,9,1,NaN
2002,4,9,2,NaN
2002,4,9,3,NaN
2002,4,9,4,110
2002,4,9,5,105
2002,4,9,6,NaN
2002,4,9,7,NaN
2002,4,9,8,110
2002,4,9,9,115
2002,4,9,10,120
2002,4,9,11,NaN
2002,4,9,12,NaN
2002,4,9,13,NaN
2002,4,9,14,NaN
2002,4,9,15,NaN
2002,4,9,16,NaN
2002,4,9,17,NaN
2002,4,9,18,NaN
2002,4,9,19,NaN
2002,4,9,20,NaN
2002,4,9,21,NaN
2002,4,9,22,NaN
2002,4,9,23,NaN
2002,4,10,0,NaN
2002,4,10,1,100
2002,4,10,2,120
2002,4,10,3,100
2002,4,10,4,120
2002,4,10,5,115
2002,4,10,6,120
2002,4,10,7,120
2002,4,10,8,100
2002,4,10,9,110
2002,4,10,10,110
2002,4,10,11,100
2002,4,10,12,105
2002,4,10,13,NaN
2002,4,10,14,NaN
2002,4,10,15,NaN
2002,4,10,16,NaN
2002,4,10,17,NaN
2002,4,10,18,NaN
2002,4,10,19,NaN
2002,4,10,20,NaN
2002,4,10,21,NaN
2002,4,10,22,NaN
2002,4,10,23,NaN
2002,4,11,0,110
2002,4,11,1,110
2002,4,11,2,NaN
2002,4,11,3,110
2002,4,11,4,105
2002,4,11,5,115
2002,4,11,6,115
2002,4,11,7,105
2002,4,11,8,NaN
2002,4,11,9,110
2002,4,11,10,110
2002,4,11,11,125
2002,4,11,12,100
2002,4,11,13,NaN
2002,4,11,14,NaN
2002,4,11,15,NaN
2002,4,11,16,NaN
2002,4,11,17,NaN
2002,4,11,18,NaN
2002,4,11,19,NaN
2002,4,11,20,NaN
2002,4,11,21,NaN
2002,4,11,22,NaN
2002,4,11,23,NaN
2002,4,12,0,110
2002,4,12,1,110
2002,4,12,2,NaN
2002,4,12,3,110
2002,4,12,4,110
2002,4,12,5,115
2002,4,12,6,110
2002,4,12,7,115
2002,4,12,8,NaN
2002,4,12,9,115
2002,4,12,10,110
2002,4,12,11,120
2002,4,12,12,NaN
2002,4,12,13,NaN
2002,4,12,14,NaN
2002,4,12,15,NaN
2002,4,12,16,NaN
2002,4,12,17,NaN
2002,4,12,18,NaN
2002,4,12,19,NaN
2002,4,12,20,NaN
2002,4,12,21,NaN
2002,4,12,22,NaN
2002,4,12,23,NaN
2002,4,13,0,NaN
2002,4,13,1,120
2002,4,13,2,NaN
2002,4,13,3,110
2002,4,13,4,119
2002,4,13,5,105
2002,4,13,6,NaN
2002,4,13,7,115
2002,4,13,8,105
2002,4,13,9,NaN
2002,4,13,10,120
2002,4,13,11,120
2002,4,13,12,NaN
2002,4,13,13,NaN
2002,4,13,14,NaN
2002,4,13,15,NaN
2002,4,13,16,NaN
2002,4,13,17,NaN
2002,4,13,18,NaN
2002,4,13,19,NaN
2002,4,13,20,NaN
2002,4,13,21,NaN
2002,4,13,22,NaN
2002,4,13,23,NaN
2002,4,14,0,100
2002,4,14,1,115
2002,4,14,2,140
2002,4,14,3,110
2002,4,14,4,110
2002,4,14,5,100
2002,4,14,6,100
2002,4,14,7,100
2002,4,14,8,110
2002,4,14,9,110
2002,4,14,10,105
2002,4,14,11,100
2002,4,14,12,NaN
2002,4,14,13,120
2002,4,14,14,NaN
2002,4,14,15,NaN
2002,4,14,16,NaN
2002,4,14,17,NaN
2002,4,14,18,NaN
2002,4,14,19,NaN
2002,4,14,20,NaN
2002,4,14,21,NaN
2002,4,14,22,NaN
2002,4,14,23,NaN
2002,4,15,0,130
2002,4,15,1,140
2002,4,15,2,135
2002,4,15,3,115
2002,4,15,4,125
2002,4,15,5,NaN
2002,4,15,6,120
2002,4,15,7,110
2002,4,15,8,115
2002,4,15,9,135
2002,4,15,10,110
2002,4,15,11,100
2002,4,15,12,NaN
2002,4,15,13,NaN
2002,4,15,14,NaN
2002,4,15,15,NaN
2002,4,15,16,NaN
2002,4,15,17,NaN
2002,4,15,18,NaN
2002,4,15,19,NaN
2002,4,15,20,NaN
2002,4,15,21,NaN
2002,4,15,22,NaN
2002,4,15,23,NaN
2002,4,16,0,130
2002,4,16,1,120
2002,4,16,2,125
2002,4,16,3,115
2002,4,16,4,120
2002,4,16,5,NaN
2002,4,16,6,110
2002,4,16,7,110
2002,4,16,8,120
2002,4,16,9,115
2002,4,16,10,115
2002,4,16,11,140
2002,4,16,12,NaN
2002,4,16,13,NaN
2002,4,16,14,115
2002,4,16,15,110
2002,4,16,16,NaN
2002,4,16,17,NaN
2002,4,16,18,NaN
2002,4,16,19,NaN
2002,4,16,20,NaN
2002,4,16,21,NaN
2002,4,16,22,NaN
2002,4,16,23,NaN
2002,4,17,0,130
2002,4,17,1,120
2002,4,17,2,120
2002,4,17,3,140
2002,4,17,4,110
2002,4,17,5,125
2002,4,17,6,125
2002,4,17,7,110
2002,4,17,8,NaN
2002,4,17,9,NaN
2002,4,17,10,130
2002,4,17,11,125
2002,4,17,12,NaN
2002,4,17,13,NaN
2002,4,17,14,NaN
2002,4,17,15,NaN
2002,4,17,16,NaN
2002,4,17,17,NaN
2002,4,17,18,NaN
2002,4,17,19,NaN
2002,4,17,20,NaN
2002,4,17,21,NaN
2002,4,17,22,NaN
2002,4,17,23,NaN
2002,4,18,0,100
2002,4,18,1,110
2002,4,18,2,110
2002,4,18,3,110
2002,4,18,4,110
2002,4,18,5,NaN
2002,4,18,6,NaN
2002,4,18,7,NaN
2002,4,18,8,110
2002,4,18,9,100
2002,4,18,10,100
2002,4,18,11,100
2002,4,18,12,NaN
2002,4,18,13,NaN
2002,4,18,14,NaN
2002,4,18,15,NaN
2002,4,18,16,NaN
2002,4,18,17,NaN
2002,4,18,18,NaN
2002,4,18,19,NaN
2002,4,18,20,NaN
2002,4,18,21,NaN
2002,4,18,22,NaN
2002,4,18,23,120
2002,4,19,0,115
2002,4,19,1,120
2002,4,19,2,NaN
2002,4,19,3,NaN
2002,4,19,4,120
2002,4,19,5,115
2002,4,19,6,145
2002,4,19,7,125
2002,4,19,8,130
2002,4,19,9,115
2002,4,19,10,110
2002,4,19,11,125
2002,4,19,12,105
2002,4,19,13,NaN
2002,4,19,14,NaN
2002,4,19,15,NaN
2002,4,19,16,NaN
2002,4,19,17,NaN
2002,4,19,18,NaN
2002,4,19,19,NaN
2002,4,19,20,NaN
2002,4,19,21,NaN
2002,4,19,22,NaN
2002,4,19,23,125
2002,4,20,0,110
2002,4,20,1,105
2002,4,20,2,NaN
2002,4,20,3,NaN
2002,4,20,4,NaN
2002,4,20,5,120
2002,4,20,6,115
2002,4,20,7,120
2002,4,20,8,130
2002,4,20,9,100
2002,4,20,10,120
2002,4,20,11,105
2002,4,20,12,NaN
2002,4,20,13,150
2002,4,20,14,NaN
2002,4,20,15,NaN
2002,4,20,16,NaN
2002,4,20,17,NaN
2002,4,20,18,NaN
2002,4,20,19,NaN
2002,4,20,20,NaN
2002,4,20,21,NaN
2002,4,20,22,NaN
2002,4,20,23,115
2002,4,21,0,115
2002,4,21,1,120
2002,4,21,2,NaN
2002,4,21,3,NaN
2002,4,21,4,NaN
2002,4,21,5,NaN
2002,4,21,6,110
2002,4,21,7,125
2002,4,21,8,110
2002,4,21,9,115
2002,4,21,10,120
2002,4,21,11,110
2002,4,21,12,130
2002,4,21,13,120
2002,4,21,14,130
2002,4,21,15,110
2002,4,21,16,NaN
2002,4,21,17,NaN
2002,4,21,18,NaN
2002,4,21,19,NaN
2002,4,21,20,NaN
2002,4,21,21,NaN
2002,4,21,22,NaN
2002,4,21,23,NaN
2002,4,22,0,NaN
2002,4,22,1,120
2002,4,22,2,120
2002,4,22,3,115
2002,4,22,4,115
2002,4,22,5,100
2002,4,22,6,110
2002,4,22,7,100
2002,4,22,8,100
2002,4,22,9,100
2002,4,22,10,100
2002,4,22,11,NaN
2002,4,22,12,NaN
2002,4,22,13,NaN
2002,4,22,14,NaN
2002,4,22,15,NaN
2002,4,22,16,NaN
2002,4,22,17,NaN
2002,4,22,18,NaN
2002,4,22,19,NaN
2002,4,22,20,NaN
2002,4,22,21,NaN
2002,4,22,22,NaN
2002,4,22,23,NaN
2002,4,23,0,NaN
2002,4,23,1,NaN
2002,4,23,2,130
2002,4,23,3,110
2002,4,23,4,110
2002,4,23,5,110
2002,4,23,6,110
2002,4,23,7,110
2002,4,23,8,110
2002,4,23,9,110
2002,4,23,10,120
2002,4,23,11,100
2002,4,23,12,NaN
2002,4,23,13,NaN
2002,4,23,14,NaN
2002,4,23,15,NaN
2002,4,23,16,NaN
2002,4,23,17,NaN
2002,4,23,18,NaN
2002,4,23,19,NaN
2002,4,23,20,NaN
2002,4,23,21,NaN
2002,4,23,22,NaN
2002,4,23,23,NaN
2002,4,24,0,130
2002,4,24,1,115
2002,4,24,2,120
2002,4,24,3,125
2002,4,24,4,110
2002,4,24,5,110
2002,4,24,6,110
2002,4,24,7,115
2002,4,24,8,110
2002,4,24,9,110
2002,4,24,10,115
2002,4,24,11,120
2002,4,24,12,NaN
2002,4,24,13,NaN
2002,4,24,14,NaN
2002,4,24,15,NaN
2002,4,24,16,NaN
2002,4,24,17,NaN
2002,4,24,18,NaN
2002,4,24,19,NaN
2002,4,24,20,NaN
2002,4,24,21,NaN
2002,4,24,22,NaN
2002,4,24,23,NaN
2002,4,25,0,110
2002,4,25,1,NaN
2002,4,25,2,120
2002,4,25,3,115
2002,4,25,4,115
2002,4,25,5,110
2002,4,25,6,NaN
2002,4,25,7,110
2002,4,25,8,115
2002,4,25,9,100
2002,4,25,10,110
2002,4,25,11,NaN
2002,4,25,12,NaN
2002,4,25,13,140
2002,4,25,14,NaN
2002,4,25,15,NaN
2002,4,25,16,NaN
2002,4,25,17,NaN
2002,4,25,18,NaN
2002,4,25,19,NaN
2002,4,25,20,NaN
2002,4,25,21,NaN
2002,4,25,22,NaN
2002,4,25,23,NaN
2002,4,26,0,NaN
2002,4,26,1,NaN
2002,4,26,2,NaN
2002,4,26,3,130
2002,4,26,4,130
2002,4,26,5,100
2002,4,26,6,100
2002,4,26,7,100
2002,4,26,8,110
2002,4,26,9,100
2002,4,26,10,100
2002,4,26,11,130
2002,4,26,12,120
2002,4,26,13,130
2002,4,26,14,NaN
2002,4,26,15,NaN
2002,4,26,16,NaN
2002,4,26,17,110
2002,4,26,18,NaN
2002,4,26,19,NaN
2002,4,26,20,NaN
2002,4,26,21,NaN
2002,4,26,22,NaN
2002,4,26,23,NaN
2002,4,27,0,NaN
2002,4,27,1,100
2002,4,27,2,150
2002,4,27,3,100
2002,4,27,4,125
2002,4,27,5,105
2002,4,27,6,115
2002,4,27,7,115
2002,4,27,8,140
2002,4,27,9,115
2002,4,27,10,100
2002,4,27,11,135
2002,4,27,12,160
2002,4,27,13,155
2002,4,27,14,130
2002,4,27,15,120
2002,4,27,16,115
2002,4,27,17,NaN
2002,4,27,18,NaN
2002,4,27,19,NaN
2002,4,27,20,NaN
2002,4,27,21,NaN
2002,4,27,22,NaN
2002,4,27,23,NaN
2002,4,28,0,NaN
2002,4,28,1,100
2002,4,28,2,NaN
2002,4,28,3,145
2002,4,28,4,125
2002,4,28,5,120
2002,4,28,6,115
2002,4,28,7,115
2002,4,28,8,120
2002,4,28,9,105
2002,4,28,10,100
2002,4,28,11,NaN
2002,4,28,12,NaN
2002,4,28,13,150
2002,4,28,14,NaN
2002,4,28,15,NaN
2002,4,28,16,NaN
2002,4,28,17,105
2002,4,28,18,NaN
2002,4,28,19,NaN
2002,4,28,20,NaN
2002,4,28,21,NaN
2002,4,28,22,NaN
2002,4,28,23,NaN
2002,4,29,0,NaN
2002,4,29,1,NaN
2002,4,29,2,NaN
2002,4,29,3,125
2002,4,29,4,120
2002,4,29,5,125
2002,4,29,6,115
2002,4,29,7,110
2002,4,29,8,115
2002,4,29,9,125
2002,4,29,10,105
2002,4,29,11,120
2002,4,29,12,NaN
2002,4,29,13,NaN
2002,4,29,14,NaN
2002,4,29,15,NaN
2002,4,29,16,NaN
2002,4,29,17,NaN
2002,4,29,18,100
2002,4,29,19,NaN
2002,4,29,20,100
2002,4,29,21,NaN
2002,4,29,22,NaN
2002,4,29,23,NaN
2002,4,30,0,120
2002,4,30,1,130
2002,4,30,2,120
2002,4,30,3,120
2002,4,30,4,110
2002,4,30,5,120
2002,4,30,6,120
2002,4,30,7,100
2002,4,30,8,115
2002,4,30,9,105
2002,4,30,10,100
2002,4,30,11,125
2002,4,30,12,160
2002,4,30,13,120
2002,4,30,14,110
2002,4,30,15,NaN
2002,4,30,16,110
2002,4,30,17,NaN
2002,4,30,18,NaN
2002,4,30,19,NaN
2002,4,30,20,NaN
2002,4,30,21,NaN
2002,4,30,22,NaN
2002,4,30,23,NaN
2002,5,1,0,125
2002,5,1,1,110
2002,5,1,2,130
2002,5,1,3,110
2002,5,1,4,100
2002,5,1,5,110
2002,5,1,6,125
2002,5,1,7,120
2002,5,1,8,120
2002,5,1,9,120
2002,5,1,10,110
2002,5,1,11,110
2002,5,1,12,120
2002,5,1,13,145
2002,5,1,14,NaN
2002,5,1,15,NaN
2002,5,1,16,120
2002,5,1,17,NaN
2002,5,1,18,NaN
2002,5,1,19,NaN
2002,5,1,20,NaN
2002,5,1,21,NaN
2002,5,1,22,NaN
2002,5,1,23,NaN
2002,5,2,0,140
2002,5,2,1,115
2002,5,2,2,110
2002,5,2,3,110
2002,5,2,4,110
2002,5,2,5,110
2002,5,2,6,115
2002,5,2,7,110
2002,5,2,8,105
2002,5,2,9,120
2002,5,2,10,120
2002,5,2,11,130
2002,5,2,12,110
2002,5,2,13,110
2002,5,2,14,125
2002,5,2,15,115
2002,5,2,16,NaN
2002,5,2,17,NaN
2002,5,2,18,NaN
2002,5,2,19,NaN
2002,5,2,20,NaN
2002,5,2,21,NaN
2002,5,2,22,NaN
2002,5,2,23,NaN
2002,5,3,0,105
2002,5,3,1,115
2002,5,3,2,120
2002,5,3,3,100
2002,5,3,4,110
2002,5,3,5,115
2002,5,3,6,110
2002,5,3,7,120
2002,5,3,8,115
2002,5,3,9,120
2002,5,3,10,125
2002,5,3,11,150
2002,5,3,12,120
2002,5,3,13,120
2002,5,3,14,130
2002,5,3,15,115
2002,5,3,16,NaN
2002,5,3,17,NaN
2002,5,3,18,NaN
2002,5,3,19,NaN
2002,5,3,20,NaN
2002,5,3,21,NaN
2002,5,3,22,NaN
2002,5,3,23,NaN
2002,5,4,0,140
2002,5,4,1,150
2002,5,4,2,120
2002,5,4,3,120
2002,5,4,4,120
2002,5,4,5,130
2002,5,4,6,130
2002,5,4,7,100
2002,5,4,8,100
2002,5,4,9,120
2002,5,4,10,130
2002,5,4,11,NaN
2002,5,4,12,NaN
2002,5,4,13,125
2002,5,4,14,110
2002,5,4,15,120
2002,5,4,16,NaN
2002,5,4,17,NaN
2002,5,4,18,NaN
2002,5,4,19,NaN
2002,5,4,20,NaN
2002,5,4,21,NaN
2002,5,4,22,NaN
2002,5,4,23,145
2002,5,5,0,105
2002,5,5,1,145
2002,5,5,2,100
2002,5,5,3,135
2002,5,5,4,120
2002,5,5,5,110
2002,5,5,6,115
2002,5,5,7,110
2002,5,5,8,110
2002,5,5,9,130
2002,5,5,10,145
2002,5,5,11,110
2002,5,5,12,NaN
2002,5,5,13,130
2002,5,5,14,NaN
2002,5,5,15,NaN
2002,5,5,16,NaN
2002,5,5,17,NaN
2002,5,5,18,NaN
2002,5,5,19,NaN
2002,5,5,20,NaN
2002,5,5,21,NaN
2002,5,5,22,NaN
2002,5,5,23,140
2002,5,6,0,130
2002,5,6,1,110
2002,5,6,2,100
2002,5,6,3,110
2002,5,6,4,125
2002,5,6,5,120
2002,5,6,6,110
2002,5,6,7,115
2002,5,6,8,120
2002,5,6,9,120
2002,5,6,10,115
2002,5,6,11,110
2002,5,6,12,NaN
2002,5,6,13,115
2002,5,6,14,115
2002,5,6,15,100
2002,5,6,16,110
2002,5,6,17,NaN
2002,5,6,18,NaN
2002,5,6,19,NaN
2002,5,6,20,NaN
2002,5,6,21,NaN
2002,5,6,22,NaN
2002,5,6,23,130
2002,5,7,0,130
2002,5,7,1,130
2002,5,7,2,130
2002,5,7,3,115
2002,5,7,4,120
2002,5,7,5,120
2002,5,7,6,120
2002,5,7,7,130
2002,5,7,8,105
2002,5,7,9,110
2002,5,7,10,100
2002,5,7,11,140
2002,5,7,12,125
2002,5,7,13,140
2002,5,7,14,NaN
2002,5,7,15,NaN
2002,5,7,16,NaN
2002,5,7,17,NaN
2002,5,7,18,115
2002,5,7,19,120
2002,5,7,20,NaN
2002,5,7,21,NaN
2002,5,7,22,NaN
2002,5,7,23,NaN
2002,5,8,0,110
2002,5,8,1,110
2002,5,8,2,110
2002,5,8,3,115
2002,5,8,4,120
2002,5,8,5,120
2002,5,8,6,120
2002,5,8,7,120
2002,5,8,8,120
2002,5,8,9,125
2002,5,8,10,115
2002,5,8,11,135
2002,5,8,12,110
2002,5,8,13,125
2002,5,8,14,105
2002,5,8,15,105
2002,5,8,16,NaN
2002,5,8,17,NaN
2002,5,8,18,NaN
2002,5,8,19,NaN
2002,5,8,20,NaN
2002,5,8,21,NaN
2002,5,8,22,NaN
2002,5,8,23,125
2002,5,9,0,120
2002,5,9,1,110
2002,5,9,2,110
2002,5,9,3,110
2002,5,9,4,105
2002,5,9,5,115
2002,5,9,6,120
2002,5,9,7,100
2002,5,9,8,100
2002,5,9,9,110
2002,5,9,10,100
2002,5,9,11,130
2002,5,9,12,125
2002,5,9,13,120
2002,5,9,14,115
2002,5,9,15,NaN
2002,5,9,16,120
2002,5,9,17,115
2002,5,9,18,NaN
2002,5,9,19,NaN
2002,5,9,20,NaN
2002,5,9,21,NaN
2002,5,9,22,NaN
2002,5,9,23,105
2002,5,10,0,120
2002,5,10,1,110
2002,5,10,2,110
2002,5,10,3,115
2002,5,10,4,130
2002,5,10,5,110
2002,5,10,6,120
2002,5,10,7,135
2002,5,10,8,110
2002,5,10,9,110
2002,5,10,10,110
2002,5,10,11,110
2002,5,10,12,NaN
2002,5,10,13,140
2002,5,10,14,130
2002,5,10,15,120
2002,5,10,16,120
2002,5,10,17,115
2002,5,10,18,110
2002,5,10,19,100
2002,5,10,20,110
2002,5,10,21,NaN
2002,5,10,22,NaN
2002,5,10,23,140
2002,5,11,0,145
2002,5,11,1,130
2002,5,11,2,125
2002,5,11,3,130
2002,5,11,4,115
2002,5,11,5,110
2002,5,11,6,110
2002,5,11,7,110
2002,5,11,8,115
2002,5,11,9,NaN
2002,5,11,10,125
2002,5,11,11,130
2002,5,11,12,150
2002,5,11,13,130
2002,5,11,14,120
2002,5,11,15,NaN
2002,5,11,16,110
2002,5,11,17,105
2002,5,11,18,NaN
2002,5,11,19,NaN
2002,5,11,20,NaN
2002,5,11,21,NaN
2002,5,11,22,NaN
2002,5,11,23,100
2002,5,12,0,140
2002,5,12,1,100
2002,5,12,2,120
2002,5,12,3,130
2002,5,12,4,130
2002,5,12,5,105
2002,5,12,6,100
2002,5,12,7,100
2002,5,12,8,100
2002,5,12,9,100
2002,5,12,10,100
2002,5,12,11,100
2002,5,12,12,NaN
2002,5,12,13,120
2002,5,12,14,100
2002,5,12,15,NaN
2002,5,12,16,120
2002,5,12,17,NaN
2002,5,12,18,NaN
2002,5,12,19,NaN
2002,5,12,20,130
2002,5,12,21,NaN
2002,5,12,22,NaN
2002,5,12,23,135
2002,5,13,0,115
2002,5,13,1,NaN
2002,5,13,2,110
2002,5,13,3,110
2002,5,13,4,115
2002,5,13,5,120
2002,5,13,6,110
2002,5,13,7,110
2002,5,13,8,100
2002,5,13,9,100
2002,5,13,10,100
2002,5,13,11,100
2002,5,13,12,110
2002,5,13,13,130
2002,5,13,14,140
2002,5,13,15,115
2002,5,13,16,105
2002,5,13,17,NaN
2002,5,13,18,105
2002,5,13,19,110
2002,5,13,20,NaN
2002,5,13,21,NaN
2002,5,13,22,NaN
2002,5,13,23,145
2002,5,14,0,100
2002,5,14,1,100
2002,5,14,2,100
2002,5,14,3,130
2002,5,14,4,100
2002,5,14,5,120
2002,5,14,6,110
2002,5,14,7,115
2002,5,14,8,110
2002,5,14,9,100
2002,5,14,10,100
2002,5,14,11,100
2002,5,14,12,100
2002,5,14,13,140
2002,5,14,14,120
2002,5,14,15,110
2002,5,14,16,100
2002,5,14,17,NaN
2002,5,14,18,NaN
2002,5,14,19,NaN
2002,5,14,20,NaN
2002,5,14,21,120
2002,5,14,22,NaN
2002,5,14,23,120
2002,5,15,0,130
2002,5,15,1,130
2002,5,15,2,130
2002,5,15,3,105
2002,5,15,4,100
2002,5,15,5,100
2002,5,15,6,100
2002,5,15,7,100
2002,5,15,8,100
2002,5,15,9,105
2002,5,15,10,110
2002,5,15,11,150
2002,5,15,12,120
2002,5,15,13,135
2002,5,15,14,125
2002,5,15,15,120
2002,5,15,16,115
2002,5,15,17,110
2002,5,15,18,NaN
2002,5,15,19,NaN
2002,5,15,20,NaN
2002,5,15,21,NaN
2002,5,15,22,NaN
2002,5,15,23,100
2002,5,16,0,120
2002,5,16,1,105
2002,5,16,2,110
2002,5,16,3,135
2002,5,16,4,120
2002,5,16,5,115
2002,5,16,6,120
2002,5,16,7,115
2002,5,16,8,110
2002,5,16,9,105
2002,5,16,10,130
2002,5,16,11,100
2002,5,16,12,120
2002,5,16,13,130
2002,5,16,14,NaN
2002,5,16,15,110
2002,5,16,16,110
2002,5,16,17,105
2002,5,16,18,110
2002,5,16,19,110
2002,5,16,20,105
2002,5,16,21,105
2002,5,16,22,NaN
2002,5,16,23,110
2002,5,17,0,105
2002,5,17,1,NaN
2002,5,17,2,120
2002,5,17,3,110
2002,5,17,4,120
2002,5,17,5,115
2002,5,17,6,115
2002,5,17,7,105
2002,5,17,8,110
2002,5,17,9,125
2002,5,17,10,130
2002,5,17,11,120
2002,5,17,12,130
2002,5,17,13,140
2002,5,17,14,120
2002,5,17,15,110
2002,5,17,16,110
2002,5,17,17,110
2002,5,17,18,100
2002,5,17,19,100
2002,5,17,20,100
2002,5,17,21,NaN
2002,5,17,22,NaN
2002,5,17,23,100
2002,5,18,0,130
2002,5,18,1,130
2002,5,18,2,120
2002,5,18,3,110
2002,5,18,4,120
2002,5,18,5,115
2002,5,18,6,120
2002,5,18,7,120
2002,5,18,8,110
2002,5,18,9,120
2002,5,18,10,120
2002,5,18,11,130
2002,5,18,12,100
2002,5,18,13,125
2002,5,18,14,130
2002,5,18,15,120
2002,5,18,16,120
2002,5,18,17,115
2002,5,18,18,115
2002,5,18,19,110
2002,5,18,20,NaN
2002,5,18,21,NaN
2002,5,18,22,NaN
2002,5,18,23,105
2002,5,19,0,100
2002,5,19,1,120
2002,5,19,2,120
2002,5,19,3,120
2002,5,19,4,125
2002,5,19,5,125
2002,5,19,6,110
2002,5,19,7,120
2002,5,19,8,110
2002,5,19,9,120
2002,5,19,10,115
2002,5,19,11,155
2002,5,19,12,100
2002,5,19,13,130
2002,5,19,14,120
2002,5,19,15,120
2002,5,19,16,120
2002,5,19,17,115
2002,5,19,18,110
2002,5,19,19,110
2002,5,19,20,NaN
2002,5,19,21,NaN
2002,5,19,22,NaN
2002,5,19,23,140
2002,5,20,0,140
2002,5,20,1,100
2002,5,20,2,150
2002,5,20,3,125
2002,5,20,4,120
2002,5,20,5,115
2002,5,20,6,120
2002,5,20,7,110
2002,5,20,8,115
2002,5,20,9,140
2002,5,20,10,130
2002,5,20,11,115
2002,5,20,12,110
2002,5,20,13,110
2002,5,20,14,130
2002,5,20,15,120
2002,5,20,16,115
2002,5,20,17,115
2002,5,20,18,115
2002,5,20,19,115
2002,5,20,20,NaN
2002,5,20,21,NaN
2002,5,20,22,NaN
2002,5,20,23,110
2002,5,21,0,130
2002,5,21,1,120
2002,5,21,2,120
2002,5,21,3,110
2002,5,21,4,110
2002,5,21,5,110
2002,5,21,6,110
2002,5,21,7,110
2002,5,21,8,115
2002,5,21,9,110
2002,5,21,10,110
2002,5,21,11,100
2002,5,21,12,120
2002,5,21,13,115
2002,5,21,14,NaN
2002,5,21,15,NaN
2002,5,21,16,115
2002,5,21,17,115
2002,5,21,18,110
2002,5,21,19,110
2002,5,21,20,105
2002,5,21,21,NaN
2002,5,21,22,NaN
2002,5,21,23,135
2002,5,22,0,130
2002,5,22,1,135
2002,5,22,2,120
2002,5,22,3,130
2002,5,22,4,125
2002,5,22,5,115
2002,5,22,6,120
2002,5,22,7,115
2002,5,22,8,110
2002,5,22,9,120
2002,5,22,10,125
2002,5,22,11,130
2002,5,22,12,115
2002,5,22,13,110
2002,5,22,14,115
2002,5,22,15,110
2002,5,22,16,NaN
2002,5,22,17,NaN
2002,5,22,18,NaN
2002,5,22,19,NaN
2002,5,22,20,NaN
2002,5,22,21,110
2002,5,22,22,120
2002,5,22,23,NaN
2002,5,23,0,125
2002,5,23,1,120
2002,5,23,2,115
2002,5,23,3,115
2002,5,23,4,130
2002,5,23,5,120
2002,5,23,6,110
2002,5,23,7,120
2002,5,23,8,120
2002,5,23,9,115
2002,5,23,10,115
2002,5,23,11,100
2002,5,23,12,100
2002,5,23,13,160
2002,5,23,14,NaN
2002,5,23,15,NaN
2002,5,23,16,NaN
2002,5,23,17,NaN
2002,5,23,18,NaN
2002,5,23,19,NaN
2002,5,23,20,NaN
2002,5,23,21,NaN
2002,5,23,22,160
2002,5,23,23,160
2002,5,24,0,120
2002,5,24,1,120
2002,5,24,2,110
2002,5,24,3,120
2002,5,24,4,110
2002,5,24,5,105
2002,5,24,6,130
2002,5,24,7,100
2002,5,24,8,100
2002,5,24,9,100
2002,5,24,10,100
2002,5,24,11,160
2002,5,24,12,135
2002,5,24,13,130
2002,5,24,14,120
2002,5,24,15,115
2002,5,24,16,NaN
2002,5,24,17,115
2002,5,24,18,NaN
2002,5,24,19,NaN
2002,5,24,20,NaN
2002,5,24,21,NaN
2002,5,24,22,120
2002,5,24,23,140
2002,5,25,0,135
2002,5,25,1,125
2002,5,25,2,125
2002,5,25,3,115
2002,5,25,4,125
2002,5,25,5,120
2002,5,25,6,115
2002,5,25,7,110
2002,5,25,8,105
2002,5,25,9,110
2002,5,25,10,125
2002,5,25,11,145
2002,5,25,12,125
2002,5,25,13,125
2002,5,25,14,NaN
2002,5,25,15,115
2002,5,25,16,115
