YYYY,m,d,h,h'Es
1995,1,10,19,NaN
1995,1,10,20,NaN
1995,1,10,21,NaN
1995,1,10,22,NaN
1995,1,10,23,NaN
1995,1,11,0,NaN
1995,1,11,1,NaN
1995,1,11,2,NaN
1995,1,11,3,110
1995,1,11,4,110
1995,1,11,5,120
1995,1,11,6,NaN
1995,1,11,7,130
1995,1,11,8,160
1995,1,11,9,NaN
1995,1,11,10,NaN
1995,1,11,11,NaN
1995,1,11,12,NaN
1995,1,11,13,NaN
1995,1,11,14,NaN
1995,1,11,15,NaN
1995,1,11,16,NaN
1995,1,11,17,NaN
1995,1,11,18,NaN
1995,1,11,19,NaN
1995,1,11,20,NaN
1995,1,11,21,NaN
1995,1,11,22,NaN
1995,1,11,23,130
1995,1,12,0,NaN
1995,1,12,1,NaN
1995,1,12,2,NaN
1995,1,12,3,NaN
1995,1,12,4,120
1995,1,12,5,110
1995,1,12,6,130
1995,1,12,7,120
1995,1,12,8,120
1995,1,12,9,120
1995,1,12,10,110
1995,1,12,11,105
1995,1,12,12,110
1995,1,12,13,115
1995,1,12,14,NaN
1995,1,12,15,NaN
1995,1,12,16,NaN
1995,1,12,17,NaN
1995,1,12,18,NaN
1995,1,12,19,NaN
1995,1,12,20,110
1995,1,12,21,105
1995,1,12,22,110
1995,1,12,23,NaN
1995,1,13,0,NaN
1995,1,13,1,NaN
1995,1,13,2,NaN
1995,1,13,3,160
1995,1,13,4,NaN
1995,1,13,5,125
1995,1,13,6,115
1995,1,13,7,110
1995,1,13,8,110
1995,1,13,9,110
1995,1,13,10,100
1995,1,13,11,110
1995,1,13,12,NaN
1995,1,13,13,NaN
1995,1,13,14,NaN
1995,1,13,15,NaN
1995,1,13,16,NaN
1995,1,13,17,NaN
1995,1,13,18,NaN
1995,1,13,19,105
1995,1,13,20,105
1995,1,13,21,NaN
1995,1,13,22,NaN
1995,1,13,23,NaN
1995,1,14,0,NaN
1995,1,14,1,NaN
1995,1,14,2,NaN
1995,1,14,3,NaN
1995,1,14,4,150
1995,1,14,5,140
1995,1,14,6,120
1995,1,14,7,110
1995,1,14,8,NaN
1995,1,14,9,115
1995,1,14,10,NaN
1995,1,14,11,NaN
1995,1,14,12,NaN
1995,1,14,13,105
1995,1,14,14,105
1995,1,14,15,105
1995,1,14,16,105
1995,1,14,17,105
1995,1,14,18,110
1995,1,14,19,105
1995,1,14,20,105
1995,1,14,21,105
1995,1,14,22,105
1995,1,14,23,105
1995,1,15,0,110
1995,1,15,1,105
1995,1,15,2,100
1995,1,15,3,100
1995,1,15,4,160
1995,1,15,5,105
1995,1,15,6,100
1995,1,15,7,100
1995,1,15,8,150
1995,1,15,9,150
1995,1,15,10,100
1995,1,15,11,110
1995,1,15,12,NaN
1995,1,15,13,NaN
1995,1,15,14,100
1995,1,15,15,100
1995,1,15,16,110
1995,1,15,17,105
1995,1,15,18,100
1995,1,15,19,100
1995,1,15,20,110
1995,1,15,21,103
1995,1,15,22,105
1995,1,15,23,100
1995,1,16,0,100
1995,1,16,1,130
1995,1,16,2,NaN
1995,1,16,3,145
1995,1,16,4,110
1995,1,16,5,110
1995,1,16,6,150
1995,1,16,7,110
1995,1,16,8,NaN
1995,1,16,9,120
1995,1,16,10,130
1995,1,16,11,NaN
1995,1,16,12,NaN
1995,1,16,13,NaN
1995,1,16,14,NaN
1995,1,16,15,140
1995,1,16,16,135
1995,1,16,17,125
1995,1,16,18,110
1995,1,16,19,110
1995,1,16,20,100
1995,1,16,21,100
1995,1,16,22,110
1995,1,16,23,110
1995,1,17,0,110
1995,1,17,1,110
1995,1,17,2,115
1995,1,17,3,105
1995,1,17,4,100
1995,1,17,5,110
1995,1,17,6,110
1995,1,17,7,110
1995,1,17,8,110
1995,1,17,9,115
1995,1,17,10,125
1995,1,17,11,125
1995,1,17,12,110
1995,1,17,13,105
1995,1,17,14,105
1995,1,17,15,100
1995,1,17,16,NaN
1995,1,17,17,NaN
1995,1,17,18,150
1995,1,17,19,170
1995,1,17,20,150
1995,1,17,21,130
1995,1,17,22,NaN
1995,1,17,23,105
1995,1,18,0,140
1995,1,18,1,130
1995,1,18,2,140
1995,1,18,3,160
1995,1,18,4,100
1995,1,18,5,150
1995,1,18,6,150
1995,1,18,7,105
1995,1,18,8,NaN
1995,1,18,9,120
1995,1,18,10,110
1995,1,18,11,110
1995,1,18,12,NaN
1995,1,18,13,NaN
1995,1,18,14,NaN
1995,1,18,15,NaN
1995,1,18,16,NaN
1995,1,18,17,NaN
1995,1,18,18,NaN
1995,1,18,19,100
1995,1,18,20,105
1995,1,18,21,100
1995,1,18,22,150
1995,1,18,23,150
1995,1,19,0,120
1995,1,19,1,100
1995,1,19,2,110
1995,1,19,3,110
1995,1,19,4,110
1995,1,19,5,105
1995,1,19,6,130
1995,1,19,7,115
1995,1,19,8,NaN
1995,1,19,9,NaN
1995,1,19,10,NaN
1995,1,19,11,120
1995,1,19,12,NaN
1995,1,19,13,NaN
1995,1,19,14,NaN
1995,1,19,15,NaN
1995,1,19,16,NaN
1995,1,19,17,NaN
1995,1,19,18,NaN
1995,1,19,19,NaN
1995,1,19,20,NaN
1995,1,19,21,NaN
1995,1,19,22,NaN
1995,1,19,23,NaN
1995,1,20,0,NaN
1995,1,20,1,NaN
1995,1,20,2,NaN
1995,1,20,3,105
1995,1,20,4,150
1995,1,20,5,110
1995,1,20,6,105
1995,1,20,7,160
1995,1,20,8,120
1995,1,20,9,150
1995,1,20,10,NaN
1995,1,20,11,NaN
1995,1,20,12,NaN
1995,1,20,13,NaN
1995,1,20,14,NaN
1995,1,20,15,NaN
1995,1,20,16,NaN
1995,1,20,17,NaN
1995,1,20,18,NaN
1995,1,20,19,NaN
1995,1,20,20,NaN
1995,1,20,21,NaN
1995,1,20,22,NaN
1995,1,20,23,NaN
1995,1,21,0,NaN
1995,1,21,1,NaN
1995,1,21,2,115
1995,1,21,3,110
1995,1,21,4,110
1995,1,21,5,150
1995,1,21,6,NaN
1995,1,21,7,130
1995,1,21,8,120
1995,1,21,9,125
1995,1,21,10,NaN
1995,1,21,11,125
1995,1,21,12,NaN
1995,1,21,13,NaN
1995,1,21,14,NaN
1995,1,21,15,110
1995,1,21,16,NaN
1995,1,21,17,NaN
1995,1,21,18,NaN
1995,1,21,19,NaN
1995,1,21,20,100
1995,1,21,21,100
1995,1,21,22,NaN
1995,1,21,23,NaN
1995,1,22,0,NaN
1995,1,22,1,NaN
1995,1,22,2,NaN
1995,1,22,3,110
1995,1,22,4,110
1995,1,22,5,110
1995,1,22,6,NaN
1995,1,22,7,130
1995,1,22,8,120
1995,1,22,9,NaN
1995,1,22,10,125
1995,1,22,11,NaN
1995,1,22,12,100
1995,1,22,13,NaN
1995,1,22,14,NaN
1995,1,22,15,NaN
1995,1,22,16,NaN
1995,1,22,17,NaN
1995,1,22,18,NaN
1995,1,22,19,NaN
1995,1,22,20,NaN
1995,1,22,21,NaN
1995,1,22,22,NaN
1995,1,22,23,NaN
1995,1,23,0,NaN
1995,1,23,1,NaN
1995,1,23,2,NaN
1995,1,23,3,NaN
1995,1,23,4,115
1995,1,23,5,NaN
1995,1,23,6,NaN
1995,1,23,7,NaN
1995,1,23,8,NaN
1995,1,23,9,NaN
1995,1,23,10,NaN
1995,1,23,11,NaN
1995,1,23,12,NaN
1995,1,23,13,120
1995,1,23,14,NaN
1995,1,23,15,NaN
1995,1,23,16,NaN
1995,1,23,17,NaN
1995,1,23,18,NaN
1995,1,23,19,NaN
1995,1,23,20,NaN
1995,1,23,21,NaN
1995,1,23,22,NaN
1995,1,23,23,NaN
1995,1,24,0,NaN
1995,1,24,1,NaN
1995,1,24,2,NaN
1995,1,24,3,NaN
1995,1,24,4,NaN
1995,1,24,5,NaN
1995,1,24,6,105
1995,1,24,7,115
1995,1,24,8,NaN
1995,1,24,9,NaN
1995,1,24,10,165
1995,1,24,11,NaN
1995,1,24,12,NaN
1995,1,24,13,NaN
1995,1,24,14,NaN
1995,1,24,15,NaN
1995,1,24,16,NaN
1995,1,24,17,NaN
1995,1,24,18,NaN
1995,1,24,19,NaN
1995,1,24,20,NaN
1995,1,24,21,100
1995,1,24,22,NaN
1995,1,24,23,NaN
1995,1,25,0,NaN
1995,1,25,1,NaN
1995,1,25,2,NaN
1995,1,25,3,NaN
1995,1,25,4,100
1995,1,25,5,100
1995,1,25,6,110
1995,1,25,7,125
1995,1,25,8,130
1995,1,25,9,135
1995,1,25,10,120
1995,1,25,11,120
1995,1,25,12,NaN
1995,1,25,13,NaN
1995,1,25,14,100
1995,1,25,15,100
1995,1,25,16,NaN
1995,1,25,17,NaN
1995,1,25,18,NaN
1995,1,25,19,NaN
1995,1,25,20,NaN
1995,1,25,21,NaN
1995,1,25,22,NaN
1995,1,25,23,NaN
1995,1,26,0,NaN
1995,1,26,1,NaN
1995,1,26,2,NaN
1995,1,26,3,NaN
1995,1,26,4,120
1995,1,26,5,130
1995,1,26,6,150
1995,1,26,7,140
1995,1,26,8,120
1995,1,26,9,120
1995,1,26,10,130
1995,1,26,11,NaN
1995,1,26,12,NaN
1995,1,26,13,115
1995,1,26,14,NaN
1995,1,26,15,105
1995,1,26,16,105
1995,1,26,17,100
1995,1,26,18,NaN
1995,1,26,19,NaN
1995,1,26,20,NaN
1995,1,26,21,NaN
1995,1,26,22,NaN
1995,1,26,23,NaN
1995,1,27,0,NaN
1995,1,27,1,NaN
1995,1,27,2,NaN
1995,1,27,3,NaN
1995,1,27,4,NaN
1995,1,27,5,NaN
1995,1,27,6,NaN
1995,1,27,7,NaN
1995,1,27,8,NaN
1995,1,27,9,NaN
1995,1,27,10,NaN
1995,1,27,11,NaN
1995,1,27,12,NaN
1995,1,27,13,NaN
1995,1,27,14,NaN
1995,1,27,15,NaN
1995,1,27,16,NaN
1995,1,27,17,100
1995,1,27,18,NaN
1995,1,27,19,NaN
1995,1,27,20,NaN
1995,1,27,21,NaN
1995,1,27,22,NaN
1995,1,27,23,NaN
1995,1,28,0,NaN
1995,1,28,1,NaN
1995,1,28,2,NaN
1995,1,28,3,NaN
1995,1,28,4,145
1995,1,28,5,NaN
1995,1,28,6,150
1995,1,28,7,150
1995,1,28,8,135
1995,1,28,9,NaN
1995,1,28,10,NaN
1995,1,28,11,NaN
1995,1,28,12,NaN
1995,1,28,13,NaN
1995,1,28,14,NaN
1995,1,28,15,NaN
1995,1,28,16,NaN
1995,1,28,17,NaN
1995,1,28,18,NaN
1995,1,28,19,NaN
1995,1,28,20,NaN
1995,1,28,21,NaN
1995,1,28,22,NaN
1995,1,28,23,NaN
1995,1,29,0,NaN
1995,1,29,1,NaN
1995,1,29,2,NaN
1995,1,29,3,NaN
1995,1,29,4,NaN
1995,1,29,5,NaN
1995,1,29,6,NaN
1995,1,29,7,NaN
1995,1,29,8,NaN
1995,1,29,9,NaN
1995,1,29,10,NaN
1995,1,29,11,NaN
1995,1,29,12,NaN
1995,1,29,13,NaN
1995,1,29,14,NaN
1995,1,29,15,NaN
1995,1,29,16,NaN
1995,1,29,17,NaN
1995,1,29,18,NaN
1995,1,29,19,NaN
1995,1,29,20,NaN
1995,1,29,21,NaN
1995,1,29,22,NaN
1995,1,29,23,NaN
1995,1,30,0,NaN
1995,1,30,1,NaN
1995,1,30,2,NaN
1995,1,30,3,NaN
1995,1,30,4,NaN
1995,1,30,5,NaN
1995,1,30,6,NaN
1995,1,30,7,NaN
1995,1,30,8,NaN
1995,1,30,9,NaN
1995,1,30,10,NaN
1995,1,30,11,110
1995,1,30,12,115
1995,1,30,13,NaN
1995,1,30,14,NaN
1995,1,30,15,NaN
1995,1,30,16,NaN
1995,1,30,17,NaN
1995,1,30,18,NaN
1995,1,30,19,NaN
1995,1,30,20,NaN
1995,1,30,21,NaN
1995,1,30,22,NaN
1995,1,30,23,NaN
1995,1,31,0,NaN
1995,1,31,1,NaN
1995,1,31,2,NaN
1995,1,31,3,NaN
1995,1,31,4,NaN
1995,1,31,5,NaN
1995,1,31,6,NaN
1995,1,31,7,NaN
1995,1,31,8,NaN
1995,1,31,9,NaN
1995,1,31,10,NaN
1995,1,31,11,NaN
1995,1,31,12,NaN
1995,1,31,13,NaN
1995,1,31,14,NaN
1995,1,31,15,NaN
1995,1,31,16,NaN
1995,1,31,17,NaN
1995,1,31,18,NaN
1995,1,31,19,NaN
1995,1,31,20,NaN
1995,1,31,21,NaN
1995,1,31,22,NaN
1995,1,31,23,NaN
1995,2,1,0,NaN
1995,2,1,1,NaN
1995,2,1,2,NaN
1995,2,1,3,NaN
1995,2,1,4,NaN
1995,2,1,5,NaN
1995,2,1,6,NaN
1995,2,1,7,NaN
1995,2,1,8,NaN
1995,2,1,9,NaN
1995,2,1,10,NaN
1995,2,1,11,NaN
1995,2,1,12,NaN
1995,2,1,13,NaN
1995,2,1,14,NaN
1995,2,1,15,NaN
1995,2,1,16,NaN
1995,2,1,17,NaN
1995,2,1,18,NaN
1995,2,1,19,NaN
1995,2,1,20,NaN
1995,2,1,21,NaN
1995,2,1,22,NaN
1995,2,1,23,NaN
1995,2,2,0,NaN
1995,2,2,1,NaN
1995,2,2,2,NaN
1995,2,2,3,110
1995,2,2,4,110
1995,2,2,5,NaN
1995,2,2,6,NaN
1995,2,2,7,NaN
1995,2,2,8,NaN
1995,2,2,9,NaN
1995,2,2,10,NaN
1995,2,2,11,NaN
1995,2,2,12,NaN
1995,2,2,13,NaN
1995,2,2,14,NaN
1995,2,2,15,NaN
1995,2,2,16,NaN
1995,2,2,17,NaN
1995,2,2,18,NaN
1995,2,2,19,NaN
1995,2,2,20,NaN
1995,2,2,21,NaN
1995,2,2,22,NaN
1995,2,2,23,NaN
1995,2,3,0,NaN
1995,2,3,1,NaN
1995,2,3,2,NaN
1995,2,3,3,NaN
1995,2,3,4,NaN
1995,2,3,5,NaN
1995,2,3,6,NaN
1995,2,3,7,NaN
1995,2,3,8,160
1995,2,3,9,NaN
1995,2,3,10,145
1995,2,3,11,NaN
1995,2,3,12,NaN
1995,2,3,13,NaN
1995,2,3,14,NaN
1995,2,3,15,NaN
1995,2,3,16,NaN
1995,2,3,17,NaN
1995,2,3,18,NaN
1995,2,3,19,NaN
1995,2,3,20,NaN
1995,2,3,21,NaN
1995,2,3,22,NaN
1995,2,3,23,NaN
1995,2,4,0,NaN
1995,2,4,1,NaN
1995,2,4,2,NaN
1995,2,4,3,NaN
1995,2,4,4,115
1995,2,4,5,NaN
1995,2,4,6,NaN
1995,2,4,7,NaN
1995,2,4,8,NaN
1995,2,4,9,NaN
1995,2,4,10,NaN
1995,2,4,11,NaN
1995,2,4,12,NaN
1995,2,4,13,NaN
1995,2,4,14,NaN
1995,2,4,15,NaN
1995,2,4,16,NaN
1995,2,4,17,NaN
1995,2,4,18,NaN
1995,2,4,19,NaN
1995,2,4,20,NaN
1995,2,4,21,NaN
1995,2,4,22,NaN
1995,2,4,23,NaN
1995,2,5,0,NaN
1995,2,5,1,NaN
1995,2,5,2,105
1995,2,5,3,NaN
1995,2,5,4,100
1995,2,5,5,NaN
1995,2,5,6,NaN
1995,2,5,7,NaN
1995,2,5,8,NaN
1995,2,5,9,105
1995,2,5,10,NaN
1995,2,5,11,100
1995,2,5,12,NaN
1995,2,5,13,NaN
1995,2,5,14,NaN
1995,2,5,15,NaN
1995,2,5,16,NaN
1995,2,5,17,NaN
1995,2,5,18,NaN
1995,2,5,19,NaN
1995,2,5,20,NaN
1995,2,5,21,NaN
1995,2,5,22,NaN
1995,2,5,23,NaN
1995,2,6,0,NaN
1995,2,6,1,NaN
